city,country,company_code,product_id,demand_value,lat,lon
Chennai,India,CC-200,P002,32.8,13.09489,80.27003
Chennai,India,CC-100,P003,46.2,13.0411,80.23658
Chennai,India,CC-200,P001,21.6,13.11272,80.30588
Chennai,India,CC-100,P002,56.9,13.12032,80.30181
Chennai,India,CC-200,P003,17.6,13.00466,80.27334
Chennai,India,CC-100,P001,36.8,13.03061,80.31579
Chennai,India,CC-200,P002,33.9,13.08781,80.2894
Chennai,India,CC-100,P003,16.3,13.07005,80.23633
Chennai,India,CC-200,P001,31.0,13.03134,80.19398
Chennai,India,CC-100,P002,6.1,13.05186,80.22989
Chennai,India,CC-200,P003,17.0,13.00214,80.22527
Chennai,India,CC-100,P001,20.0,12.97309,80.22935
Chennai,India,CC-200,P002,11.7,12.97372,80.25546
Chennai,India,CC-100,P003,4.5,13.03272,80.22954
Chennai,India,CC-200,P001,28.3,13.03643,80.24776
Chennai,India,CC-100,P002,41.5,13.02843,80.2233
Chennai,India,CC-200,P003,18.6,13.13605,80.2158
Chennai,India,CC-100,P001,8.3,13.13151,80.23772
Chennai,India,CC-200,P002,17.0,13.18432,80.19301
Chennai,India,CC-100,P003,35.5,13.14235,80.21644
Chennai,India,CC-200,P001,40.2,13.09897,80.23512
Chennai,India,CC-100,P002,17.7,13.10467,80.19773
Chennai,India,CC-200,P003,4.5,13.11322,80.22837
Chennai,India,CC-100,P001,7.1,13.16989,80.18362
Chennai,India,CC-200,P002,26.4,12.98579,80.182
Chennai,India,CC-100,P003,29.8,12.93358,80.20644
Chennai,India,CC-200,P001,70.6,12.95467,80.25361
Chennai,India,CC-100,P002,10.0,13.02177,80.15091
Chennai,India,CC-200,P003,29.5,12.95555,80.23738
Chennai,India,CC-100,P001,44.9,12.9993,80.22951
Chennai,India,CC-200,P002,65.4,12.93246,80.19623
Chennai,India,CC-100,P003,14.5,12.96158,80.16216
Chennai,India,CC-200,P001,14.9,13.03441,80.36987
Chennai,India,CC-100,P002,51.8,12.99493,80.40655
Chennai,India,CC-200,P003,22.1,13.07541,80.30658
Chennai,India,CC-100,P001,4.6,13.04111,80.25042
Chennai,India,CC-200,P002,24.0,12.99117,80.20472
Chennai,India,CC-100,P003,27.6,13.00938,80.30071
Chennai,India,CC-200,P001,16.5,13.06254,80.25748
Chennai,India,CC-100,P002,10.6,13.08353,80.27339
